Year,Country,Happiness Rank,Happiness Score,Freedom,Generosity,Healthy life expectancy,Perceptions of corruption,GDP per capita,Social support,Dystopia Residual
2015,Senegal,142,3.904,0.36772,0.20843,0.4354,0.10713,0.36498,,1.44395
2015,Gabon,143,3.896,0.31914,0.06822,0.43372,0.11091,1.06024,,0.99895
2015,Niger,144,3.845,0.47692,0.19387,0.29707,0.15639,0.0694,,1.87877
2015,Cambodia,145,3.819,0.66246,0.40359,0.61114,0.07247,0.46038,,0.98195
2015,Tanzania,146,3.781,0.32878,0.34377,0.38215,0.05747,0.2852,,1.38079
2015,Madagascar,147,3.681,0.19184,0.21333,0.46721,0.08124,0.20824,,1.851
2015,Central African Republic,148,3.678,0.48879,0.23835,0.06699,0.08289,0.0785,,2.7223
2015,Chad,149,3.667,0.23501,0.18386,0.1501,0.05269,0.34193,,1.94296
2015,Guinea,150,3.656,0.37725,0.28657,0.24009,0.12139,0.17417,,1.99172
2015,Ivory Coast,151,3.655,0.46866,0.20165,0.15185,0.17922,0.46534,,1.41723
2015,Burkina Faso,152,3.587,0.39493,0.21747,0.27125,0.12832,0.25812,,1.46494
2015,Afghanistan,153,3.575,0.23414,0.3651,0.30335,0.09719,0.31982,,1.9521
2015,Rwanda,154,3.465,0.59201,0.22628,0.42864,0.55191,0.22208,,0.67042
2015,Benin,155,3.34,0.4845,0.1826,0.3191,0.0801,0.28665,,1.63328
2015,Syria,156,3.006,0.15684,0.47179,0.72193,0.18906,0.6632,,0.32858
2015,Burundi,157,2.905,0.1185,0.19727,0.22396,0.10062,0.0153,,1.83302
2015,Togo,158,2.839,0.36453,0.16681,0.28443,0.10731,0.20868,,1.56726
2016,Denmark,1,7.526,0.57941,0.36171,0.79504,0.44453,1.44178,,2.73939
2016,Switzerland,2,7.509,0.58557,0.28083,0.86303,0.41203,1.52733,,2.69463
2016,Iceland,3,7.501,0.56624,0.47678,0.86733,0.14975,1.42666,,2.83137
2016,Norway,4,7.498,0.59609,0.37895,0.79579,0.35776,1.57744,,2.66465
2016,Finland,5,7.413,0.57104,0.25492,0.81091,0.41004,1.40598,,2.82596
2016,Canada,6,7.404,0.5737,0.44834,0.8276,0.31329,1.44015,,2.70485
2016,Netherlands,7,7.339,0.55211,0.47416,0.81231,0.29927,1.46468,,2.70749
